Handle,Profile Link,Reason Excluded
@jedimarkus77,https://x.com/jedimarkus77,42.7K ex-CME member but median 6 likes / 1.5K views (0.02%) and self-described 'random nonsense' feed - fails engagement/content screen
@SuburbanDrone,https://x.com/SuburbanDrone,"Mac10, 134K, but the feed is heavily political (Trump/CEO rants) with 0.04% engagement - brand-safety / off-niche"
@toodegrees,https://x.com/toodegrees,"Indicator vendor account (toodegrees.trade), last post Aug 10, median 11 likes - tool company, not a creator"
@sweechart,https://x.com/sweechart,"Sweechart is a charting/options-data product account (company), not an individual creator; last post Aug 27"
@charliebilello,https://x.com/charliebilello,"863K, strong engagement, but content is long-term investing/macro with heavy political framing (Trump quotes, national debt) - off-niche for a day-trading platform and brand-safety risk"
@michaelbatnick,https://x.com/michaelbatnick,"207K, but last post May 12, 2026 - not active"
@daytradingzoo,https://x.com/daytradingzoo,"13K system/algo trader, median 9 likes, ~1 post/week (last Aug 31) - low engagement, reserve"
@IClovertrading,https://x.com/IClovertrading,"Clover Trading company account, 5.2K, median 2 likes, last post Aug 17 - company + dead engagement"
@TraderBryce,https://x.com/TraderBryce,"24.6K small-cap day trader, but last post Jun 9, 2026 - not active"
@Trades_Grizzly,https://x.com/Trades_Grizzly,"24K, median 3 likes / 1.2K views - daily 'good morning, live at 9:15' posts with no engagement; fails screen"
@interbankguy,https://x.com/interbankguy,"9.6K NQ market-maker-model trader, good engagement, but last post Jun 16 - not active"
@tradersilky,https://x.com/tradersilky,"39K price-action trader, median 11 likes, last post Aug 17 - low engagement and quiet"
@LozTradez,https://x.com/LozTradez,"18K, median 9 likes, last post Aug 14 - low engagement and quiet"
@SPXTrades,https://x.com/SPXTrades,"19.7K systematic ES trader, median 6 likes (0.03%) plus political posts - low engagement / brand-safety"
@ValentinTrades,https://x.com/ValentinTrades,6K equities trader with decent engagement but last post Jul 30 - not active
@_RoninTrader,https://x.com/_RoninTrader,"343 followers, last post Jan 2026 - dormant"
@TattedTraderGuy,https://x.com/TattedTraderGuy,"1.6K, median 2 likes, last post Jul 10 - dormant"
@evanmedeiros,https://x.com/evanmedeiros,12.8K systems trader (The Trade Risk) but median 0 likes / 455 views - dead engagement
@SunriseTrader,https://x.com/SunriseTrader,"198K followers but median 12 likes / 3.9K views (0.007%) across 20 posts in one day - inflated-follower profile, fails engagement screen"
@twinsight_x,https://x.com/twinsight_x,"Trade With Insight - community/alert-service account posting daily option-alert recaps ('$AAPL 320C +174%'); company + alert style, median 8 likes"
@Options_Sandy,https://x.com/Options_Sandy,"7.9K, median 1 like / 453 views - dead engagement"
@FutureTrader400,https://x.com/FutureTrader400,"5K ES levels account, median 2 likes, last post Feb 2026 - dormant"
@zaytrades_7,https://x.com/zaytrades_7,1.9K followers with suspiciously uniform 74-181 likes on every post (208% views-to-followers) - likely engagement pod; too small and last post Aug 24
@petefromaustin,https://x.com/petefromaustin,"1.8K, real-estate/mindset feed - off-niche"
@OnlyTicks,https://x.com/OnlyTicks,"3.7K, median 5 likes, ~1 post/week - too small/quiet"
@Mayhem4Markets,https://x.com/Mayhem4Markets,"Brand safety: political/slur posts (Sep 3) dominate recent timeline; also paid-partnership ads, not a trading educator"
@tradersmindedge,https://x.com/tradersmindedge,"Too small / dead engagement (7.0K followers, median 1.5 likes, last post Aug 1)"
@ESRealTime,https://x.com/ESRealTime,"Too small / zero engagement (2.3K followers, median 0 likes)"
