Handle,Profile Link,Followers,Engagement Rate (median likes+replies+reposts / followers),Views-to-Followers (median views / followers),Median Likes,Median Replies,Median Reposts,Median Views,Posts Measured,Date Range Measured,Tier,Niche,Bio Contact,Hook Link,Hook Note,Why This Account Fits,Batch
@FrankOf369,https://x.com/FrankOf369,"90,600",0.38%,26.1%,304,25,12,"23,667.5",14,2026-07-07 to 2026-08-28,Mid (25-100K),Futures day trading (NQ) - market-maker model / timing,DM open; thematrixunlocked.com,https://x.com/FrankOf369/status/2093338161644552631,"Aug 28 '$NQ Market Maker Buy Model - big green candles incoming, timing expansions' chart (343 likes)",Frank369 - NQ futures trader posting weekly market-maker-model charts with a course site; 0.38% engagement and 26% reach on 91K. Posts ~weekly (last Aug 28) - flag cadence.,M2 batch 2
@dontbsalti,https://x.com/dontbsalti,"11,000",0.33%,24.1%,28,7,1,"2,655",15,2026-09-03 to 2026-09-05,Micro (<25K),"Futures day trading (ES) - newsletter, prop-firm user",DM open; linktr.ee/dontbsalti (newsletter.staysalti.xyz),https://x.com/dontbsalti/status/2095635609620459659,Sep 3 post on an underrated TradersLaunch (prop firm) feature - he actively compares platform/prop features (47 likes),"Market Mommy - ES futures trader with a newsletter and a sharp, funny voice; 24% reach per post (0.33%) on 11K, posts several times a day. Talks openly about which trading platforms/prop features he likes - ideal for a product-led pitch.",M2 batch 2
@merrittblack,https://x.com/merrittblack,"18,900",0.27%,28.7%,46,3,2,"5,419",17,2026-06-30 to 2026-08-31,Micro (<25K),Futures / prop desk education,DM open; apterostrading.com,https://x.com/merrittblack/status/2089828938553987158,"Aug 18 live forward-test update - 12 sessions in, five losing sessions in a row, still inside expected drawdown (60 likes)","Ex-Head of Futures at SMB Capital, now runs Apteros (prop desk + training); 28.7% of followers see each post - high-trust futures/prop educator.",M2 batch 1
@MattLeech,https://x.com/MattLeech,"82,600",0.25%,37.8%,168,27,9,"31,189",15,2026-08-12 to 2026-09-04,Mid (25-100K),Prop firm founder (MyFundedFutures) - personal account,DM open; myfundedperpetuals.com,https://x.com/MattLeech/status/2095972065056547292,Sep 4 post pitching a 'hidden gem' in the prop firm industry - request a 100K payout on a single Pro 50K account (211 likes),"Founder of MyFundedFutures and Talero brokerage posting to 82.6K prop-firm traders with strong engagement (0.25%); a founder account rather than a pure educator, but a potential distribution partner - flagging so you can decide.",M2 batch 2
@StrizziJ,https://x.com/StrizziJ,"45,000",0.23%,31.9%,94.5,5.5,4,"14,369",12,2026-07-23 to 2026-09-01,Mid (25-100K),Futures day trading (ES) - commentary,DM open; no link in bio,https://x.com/StrizziJ/status/2094778236924236182,"Sep 1 ES call - 'sell the rips > buy the dip into end of September, down then up into midterms' (126 likes)",Jay (StrizziJ) - Canadian ES futures trader with a punchy contrarian voice; 32% of followers see each post (0.23%). Posts a few times a week (n=12) - mid-tier futures.,M2 batch 2
@thetastowe42,https://x.com/thetastowe42,"5,375",0.22%,29.5%,10.5,1.5,0,"1,588",14,2026-08-10 to 2026-09-04,Micro (<25K),"Futures day trading (NinjaTrader, podcast)",DM open; vibestraders.com,https://x.com/thetastowe42/status/2095936698135859405,Sep 4 long-form rant on two annoying trading days in a row - a pre-planned trade he mis-executed (68 likes); runs the Vibes Traders podcast/site,"Micro-tier futures trader who trades live on NinjaTrader and runs a small podcast community - 30% of followers see each post, high-trust audience of retail futures traders.",M2 batch 2
@smashelito,https://x.com/smashelito,"40,800",0.22%,23.0%,82,4.5,3,"9,391.5",12,2026-08-26 to 2026-09-04,Mid (25-100K),Futures day trading (ES) - Market Profile / order flow,DM open; smashelito.com,https://x.com/smashelito/status/2093450485969596785,Aug 28 $ES 'Replay Levels' posted before the overnight session for ON and RTH traders (113 likes),"Smashelito - ES trader publishing a daily plan built on Market Profile + order flow, 23% of followers see each post (0.22%). About as on-target for an order-flow platform as it gets.",M2 batch 1
@TriggerTrades,https://x.com/TriggerTrades,"98,900",0.18%,74.5%,144,15,16.5,"73,654.5",16,2026-08-04 to 2026-09-03,Mid (25-100K),Index day/swing trading (SPX/NDX) - Elliott Wave signals,DM open; elliottwaveclub.com,https://x.com/TriggerTrades/status/2094946278048149658,"Sep 2 '$SPX sell signal - targets hit, today's low is the decider' (185 likes)",Trigger Trades - Elliott Wave 2.0 creator with free + premium Discord; 64% of followers see each post (0.17%). Posts a few times a week (n=11) - strong mid-tier index-trading signal voice.,M2 batch 2
@LumiTraders,https://x.com/LumiTraders,"60,200",0.16%,12.4%,88.5,8,1,"7,472.5",20,2026-08-30 to 2026-09-04,Mid (25-100K),Prop-firm futures day trading (NQ/GC) - YouTube live streamer,DM open; funded.now,https://x.com/LumiTraders/status/2095635439495365076,"Sep 3 post 'I literally show up every single day to trade live, and I think I'm finally ready to say...' (450 likes)",Dasha (LumiTraders) - daily live-streaming NQ/gold futures trader (EN/RU) with a prop-firm partnership; 0.16% engagement on 60K and a YouTube channel - platform-showcase channel.,M2 batch 2
@SirPickle_,https://x.com/SirPickle_,"121,100",0.16%,8.0%,181.5,9.5,4.5,"9,748.5",18,2026-08-30 to 2026-09-04,Macro (100K+),Prop-firm futures day trading (NQ) education - prop-firm aggregator founder,DM open; sirpickle.com,https://x.com/SirPickle_/status/2094939547784057008,Sep 2 educational post 'there are actually 2 DOLs when trading - the higher-timeframe and the lower-timeframe draw on liquidity' (409 likes),Sir Pickle - 121K-follower futures educator building SmartPropFirm (prop-firm rewards aggregator); posts daily with 0.16% engagement. Deep in the prop-firm ecosystem - a partner-type account for a broker-neutral platform.,M2 batch 2
@DamonPavlatos,https://x.com/DamonPavlatos,"29,400",0.15%,20.0%,39,2,2.5,"5,890.5",20,2026-06-03 to 2026-08-25,Mid (25-100K),Futures (ES/NQ) education,DM open; tradershighway.com,https://x.com/DamonPavlatos/status/2092292496046821777,Aug 25 chart post on his classic post-news 'initial reaction then fade' pattern (47 likes),Former CME member running a live futures trade room (FuturePath Trading); mid-size audience with real chart discussion - futures education tier. Posts a few times per week.,M2 batch 1
@matt_loeber,https://x.com/matt_loeber,"76,400",0.13%,8.5%,88,7.5,1,"6,498",16,2026-08-18 to 2026-09-04,Mid (25-100K),Futures day trading (index futures incl. RTY) - live trading model,DM open; theforevermodel.com,https://x.com/matt_loeber/status/2090819110334533649,Aug 21 '$RTY shorts - couldn't have asked for a better setup' chart (114 likes),"$niper (Matt Loeber) - full-time index-futures trader who live-trades with followers and sells 'The Forever Model'; 0.13% engagement on 76K, 9% reach - mid-tier futures education.",M2 batch 2
@verniman,https://x.com/verniman,"25,100",0.11%,10.4%,26.5,0,0,"2,606.5",20,2026-08-28 to 2026-09-04,Mid (25-100K),Futures day trading (ES market profile / imbalance),DM open; verniman.blogspot.com (+ ko-fi.com/verniman),https://x.com/verniman/status/2094236854807605668,Aug 31 #ES_F chart 'Friday's imbalance in play' (47 likes) - posts an ES profile chart every session,Posts ES_F market-profile and imbalance charts every trading day to 25K followers; pure order-flow/auction-theory audience. Monetizes via ko-fi - classic micro-influencer for an order-flow platform.,M2 batch 1
@mendatrades,https://x.com/mendatrades,"24,200",0.10%,8.4%,20,1,2,"2,042",17,2026-08-28 to 2026-09-04,Micro (<25K),Futures day trading (NQ) - reversal / liquidity-trap model,DM open; no link in bio,https://x.com/mendatrades/status/2094440597566206287,"Aug 31 '$NQ Asia session - the exact same setup keeps happening over and over, yet you keep missing it' chart (32 likes)","Menda - NQ trader who fades retail patterns (turtle soup / liquidity traps), posts daily to 24K with 8% reach (0.10%) - micro-tier futures educator with a clear, contrarian angle.",M2 batch 2
@PauliWalnut,https://x.com/PauliWalnut,"7,413",0.09%,8.4%,7,0,0,620,18,2026-08-26 to 2026-09-04,Micro (<25K),Futures (ES) - nightly review / gamma walls,DM open; linktr.ee/pauliwalnuts (walnutlens.com),https://x.com/PauliWalnut/status/2095271234732790263,"Sep 2 nightly ES review 'Grind up, capped at the wall' (S4E70) - buyers stalled at the 7690 call wall (16 likes)","Publishes a numbered nightly ES/SPY review series (season 4, episode 70) plus a levels tool (walnutlens); tiny but consistent micro audience (7.4K, 8% reach) - exactly the daily-prep ES trader persona.",M2 batch 2
@WalterDeemer,https://x.com/WalterDeemer,"123,500",0.09%,11.6%,104.5,2,6,"14,349",20,2026-08-16 to 2026-09-04,Macro (100K+),Stocks / index technical commentary (gap analysis),DM open; walterdeemer.com,https://x.com/WalterDeemer/status/2091222080834482546,Aug 22 note that $QQQ still has the 729.27 gap 'taunting us' (172 likes) - he tracks SPY/QQQ gap fills daily,"Walter Deemer - legendary retired institutional analyst (since 1964) posting daily SPY/QQQ gap and breadth observations; 0.09% engagement on 123K, 12% reach - credibility tier for index traders.",M2 batch 2
@Trader_Bran,https://x.com/Trader_Bran,"18,700",0.09%,8.9%,15.5,1,0.5,"1,667",20,2026-07-29 to 2026-09-04,Micro (<25K),Futures / macro day trading,DM open; tradelo.com,https://x.com/Trader_Bran/status/2093315630812246426,Aug 28 note on what to watch into Jackson Hole / Warsh (23 likes),"Futures trader since 2011 posting daily macro-driven futures commentary; co-founder of Tradelo (trading tool) - mid-size, steady engagement, futures tier.",M2 batch 1
@DaveTradesOpts,https://x.com/DaveTradesOpts,"35,000",0.08%,7.9%,27,1,1.5,"2,761.5",18,2026-09-02 to 2026-09-04,Mid (25-100K),"Index / options day trading - indicator builder, prop-firm commentary",DM open; ChartersAnonymous.com (@BalconyTrading),https://x.com/DaveTradesOpts/status/2095555658175119469,Sep 3 thread 'How to create your own profitable entry indicator with Claude Code or Codex' (73 likes) - plus a Sep 3 post pitching an idea to prop firms,"Jordan (Balcony Trading) - builds and sells entry indicators, posts daily to 35K with 8% reach (0.08%); openly experiments with AI tooling for trading - natural fit for an AI-powered platform story.",M2 batch 2
@FrankCappelleri,https://x.com/FrankCappelleri,"24,100",0.08%,11.1%,17,1,1.5,"2,667",20,2026-08-27 to 2026-09-04,Micro (<25K),Stocks / index technical analysis (SPX patterns) - newsletter,DM open; cappthesis.com (cappnotes.substack.com),https://x.com/FrankCappelleri/status/2094521566402920540,"Aug 31 chart: $SPX +2.6% in August, +3.3% in the first two days - 'one big trading box' (51 likes)",Frank Cappelleri (CappThesis) - CNBC contributor and CMT publishing a daily SPX pattern note; 24K followers with 11% reach (0.08%) - mid-tier index-trading educator.,M2 batch 2
@StoicTA,https://x.com/StoicTA,"50,900",0.08%,9.2%,36.5,3,1,"4,669",14,2026-08-27 to 2026-09-04,Mid (25-100K),Futures day trading (NQ/ES) - order-flow indicator builder,DM open; StoicEdge.com,https://x.com/StoicTA/status/2094774054955737156,Sep 1 post: 'nearly 420 points on $NQ during the London session - this is why I'm building Stoic Edge Compass' with an order-flow-labelled chart (104 likes),"Stoic Trader - NQ/ES trader building an order-flow-based indicator (Stoic Edge Compass), 51K followers, 9% reach; posts annotated 1-min ES/NQ charts - order-flow tooling is literally his content.",M2 batch 2
@ChandlerTrading,https://x.com/ChandlerTrading,"26,800",0.07%,13.8%,16,2.5,1,"3,689.5",20,2026-08-28 to 2026-09-04,Mid (25-100K),"Futures / index day trading (ES-SPX market structure, supply-demand)",DM open; chandlertrades.com,https://x.com/ChandlerTrading/status/2094112423737524474,Aug 30 'Spots to watch this week' $ES/$SPX 4H chart with annotated demand zones (54 likes),Chandler - ES/SPX market-structure educator posting weekly 'spots to watch' charts and daily updates to 27K (14% reach); runs a course site - mid-tier futures educator.,M2 batch 2
@LindaRaschke,https://x.com/LindaRaschke,"140,900",0.07%,7.6%,96.5,1,2,"10,730.5",18,2026-09-03 to 2026-09-04,Macro (100K+),Futures / commodities short-term trading (Market Wizard),DM open; lindaraschke.net,https://x.com/LindaRaschke/status/2095858879087157458,Sep 4 Gold 'homework from last night' - three pushes up then A-B-C down setup (260 likes),"Market Wizard and legendary short-term futures trader; posts multiple annotated charts per day (gold, silver, corn, bunds) - macro/credibility tier with real engagement.",M2 batch 1
@daytradingrauf,https://x.com/daytradingrauf,"67,600",0.06%,5.2%,36.5,3.5,2.5,"3,514.5",14,2026-08-26 to 2026-09-04,Mid (25-100K),Futures day trading (open-range / time-based ranges) education,DM open; whop.com/blueprintacademy,https://x.com/daytradingrauf/status/2093059709250986016,Aug 27 post 'all you need is this 9:30 open strategy - mark the 8:12-9:12 pre-market range' (209 likes),"DayTradingRauf - futures trader teaching a time-based-range open strategy with a Whop academy; 68K followers, open posts 70-200 likes (median 37). Mid-tier futures education.",M2 batch 2
@Trader_Dante,https://x.com/Trader_Dante,"665,800",0.06%,6.4%,370.5,28.5,11,"42,921",20,2026-05-20 to 2026-09-03,Macro (100K+),Futures / FX / index day trading education,DM open; trader-dante.com,https://x.com/Trader_Dante/status/2095148514078515414,Sep 2 post on the feeling that 'they' can see your stops - and know when you did not set a target (669 likes),"Tom Dante - 666K-follower veteran (25 yrs) trading FX, rates and index futures with a paid education program; 0.06% engagement but 43K median views - top-of-funnel macro tier for futures/day traders.",M2 batch 1
@yuriymatso,https://x.com/yuriymatso,"78,400",0.06%,6.9%,42,2,4,"5,382",20,2026-08-27 to 2026-09-04,Mid (25-100K),Stocks / index technical analysis (SPY-QQQ-NDX charts),DM open; thetrading.tools,https://x.com/yuriymatso/status/2094839132258509292,Sep 1 chart noting the same SPY/QQQ negative divergence he flagged in early 2022 (620 likes),"Yuriy Matso - index/ETF chartist with 78K followers, daily annotated charts (0.06%, 7% reach). Note: founder of The Trading Tools (indicator vendor) - possible partner or competitor overlap, flag before outreach.",M2 batch 2
@tradermike1234,https://x.com/tradermike1234,"129,700",0.06%,5.1%,64.5,5.5,4,"6,649",16,2026-08-30 to 2026-09-04,Macro (100K+),Futures / forex day trading (#TheStrat) - paid community,DM open; whop.com/theonepercenter,https://x.com/tradermike1234/status/2094132885318189228,"Aug 30 post 'trading is one of the few careers AI will never replace' (490 likes) - a natural, slightly cheeky opener for an AI-powered platform pitch","Trader Mike - full-time futures/FX trader teaching #TheStrat with a Whop community; 130K followers, open posts 100-500 likes (median 64). Mid-macro futures education tier.",M2 batch 2
@AnthonyCrudele,https://x.com/AnthonyCrudele,"100,100",0.05%,7.4%,44,3,1,"7,415",15,2026-08-16 to 2026-09-02,Macro (100K+),Futures (macro + ES/NQ) commentary,DM open; anthonycrudele.com/newsletter/,https://x.com/AnthonyCrudele/status/2089007670514639083,"Aug 16 'three charts, three markets' post using an anchored VWAP from Jan 1 across ES/NQ/gold (214 likes)",Ex-S&P pit trader with daily futures commentary and a newsletter; macro-awareness tier. Note: hosts NinjaTrader Live (platform affiliation) - flag before outreach.,M2 batch 1
@DoubleWideCap,https://x.com/DoubleWideCap,"47,800",0.05%,5.0%,20.5,2,0,"2,400",20,2026-09-02 to 2026-09-04,Mid (25-100K),Futures day trading (ES) - commentary,DM open; doublewidecapital.substack.com,https://x.com/DoubleWideCap/status/2095248643993330039,Sep 2 one-liner after the sell-off - 'How'd I miss the rout?' (37 likes) - self-deprecating ES trader voice,"Full-time ES trader with a Substack; posts many short session comments per day to 48K, modest engagement (0.05%) - mid-tier futures voice with an authentic, non-promotional feed.",M2 batch 2
@AdamMancini4,https://x.com/AdamMancini4,"297,700",0.04%,16.4%,115,8.5,4,"48,679",20,2026-09-01 to 2026-09-04,Macro (100K+),Futures day trading (ES intraday levels),DM open; tradecompanion.substack.com,https://x.com/AdamMancini4/status/2095480113613685194,"Sep 3 #ES_F update - 'levels still ultra precise, 7637 reclaim triggered long' with targets (148 likes)",Adam Mancini - the best-known ES intraday levels trader on X (298K); posts every session with a paid Substack newsletter. 49K median views = huge active futures audience.,M2 batch 2
@WolfRyan,https://x.com/WolfRyan,"33,800",0.04%,6.8%,10,2,0,"2,282.5",18,2026-09-03 to 2026-09-05,Mid (25-100K),Futures / prop-firm funded accounts (X Spaces host),DM open; Wolf.Financial,https://x.com/WolfRyan/status/2095643722029453757,"Sep 3 post 'The most frustrating break even day of my career' - trades 3 funded prop accounts on futures, -$3000 then clawed back (53 likes)",Hosts the daily Wolf Financial / StocksOnSpaces X Spaces and trades futures on funded prop accounts publicly - a Spaces host is a natural live-demo partner for an order-flow platform.,M2 batch 2
@I_Am_The_Algo,https://x.com/I_Am_The_Algo,"38,200",0.04%,6.5%,12.5,0,1,"2,473",16,2026-06-16 to 2026-09-02,Mid (25-100K),Futures day trading (NQ) - ICT study journal,DM open; linktr.ee/i_am_the_algo,https://x.com/I_Am_The_Algo/status/2095170072956252301,"Sep 2 'ICT tip - NQ AM session: when you anticipate a choppy 9:30, wait for...' (51 likes)","I_Am_The_Algo - NQ/ICT study-journal account with 38K followers; posts a few times a month with modest engagement (0.04%) - micro-tier futures, low cadence.",M2 batch 2
@AaronRentfrew,https://x.com/AaronRentfrew,"20,600",0.03%,7.5%,6,1,0,"1,550",20,2026-08-28 to 2026-09-04,Micro (<25K),Futures day trading (ES/NQ) - Market Profile / order flow + mindset,DM open; mindunboundtrading.com,https://x.com/AaronRentfrew/status/2094086761815113880,Aug 30 $NQ note - 'only two areas matter early in the week' with chart (53 likes),"ES/NQ market-profile/order-flow trader who posts a daily plan and runs the Mind Unbound mindset program; on-niche and very active, but per-post engagement is low (0.03%) - micro tier.",M2 batch 1
@MapleStax,https://x.com/MapleStax,"123,800",0.03%,4.1%,30,4,1,"5,056.5",20,2026-09-03 to 2026-09-05,Macro (100K+),Prop-firm futures day trading - YouTube live streamer,DM open; linktr.ee/MapleStax,https://x.com/MapleStax/status/2095609442326991349,"Sep 3 post 'Tomorrow is Friday. You have one job: log in, make $300, log out' (247 likes)",MapleStax - daily YouTube live day-trading streamer with prop-firm affiliate codes and 124K X followers; open posts run 100-250 likes though median is 30 (many quick replies). Platform-showcase channel like Jduntrades.,M2 batch 2
@Shinobbs,https://x.com/Shinobbs,"141,300",0.02%,4.9%,26.5,5,1.5,"6,915",20,2026-06-12 to 2026-09-04,Macro (100K+),Prop firm futures trading (funded-account affiliate),DM open; shinobisignals.com,https://x.com/Shinobbs/status/2092309423725166810,"Aug 25 post on the hardest part of a trade being the wait between TP and SL, and how he now handles it (25 likes)","Full-time prop-firm futures trader with affiliate codes for Lucid/Apex/Tradeify and a paid signals community; 141K followers, modest 0.02% engagement - prop-firm awareness tier, mixed content (some memes/collectibles).",M2 batch 1
@PeterLBrandt,https://x.com/PeterLBrandt,"1,300,000",0.02%,4.2%,248,14,13,"55,156",17,2026-08-28 to 2026-09-02,Macro (100K+),Futures trading (classical charting),DM open; peterlbrandt.com,https://x.com/PeterLBrandt/status/2094522873956159551,"Aug 31 post 'If your sole goal for trading is to make lots of money, then good luck - you will need luck' (942 likes); Aug 29 contrarian Copper call (546 likes)","Market Wizard and 50-year futures trader with 1.3M followers; classical chart analysis of futures markets - the widest-reach futures voice on X, awareness tier.",M2 batch 2
@alphatrends,https://x.com/alphatrends,"429,100",0.01%,1.1%,38,2.5,0,"4,741",14,2026-09-01 to 2026-09-04,Macro (100K+),Day trading / stocks + futures (anchored VWAP),DM open; alphatrends.net,https://x.com/alphatrends/status/2095860763386888403,Sep 4 gold futures ($GC_F) post showing his pre-identified anchored-VWAP levels hitting exactly (172 likes),"Brian Shannon CMT, the anchored-VWAP authority (author of 'Maximum Trading Gains'); 429K followers. Note: many posts are X-subscriber-locked, so the public median (38 likes) understates reach - open posts run 115-230 likes.",M2 batch 1
@Jduntrades,https://x.com/Jduntrades,"147,700",0.01%,3.2%,9,0.5,2,"4,714.5",14,2026-09-02 to 2026-09-04,Macro (100K+),"Futures (NQ/ES) day trading - YouTube live streamer, prop-firm affiliate",DM open; youtube.com/@jduntrades,https://x.com/Jduntrades/status/2095217375574667721,Sep 2 post - made enough in two days of trading to buy his daily-driver 2012 Honda Accord (73 likes),"Streams NQ/ES live on YouTube every morning and promotes prop-firm codes - a platform-showcase channel. Caveat: X engagement is weak (0.008%); his real audience is YouTube, so treat X as the contact route, not the reach metric.",M2 batch 1
@MikeBellafiore,https://x.com/MikeBellafiore,"95,800",0.16%,13.2%,136.5,4,12.5,"12,644.5",14,2026-07-01 to 2026-09-04,Mid (25-100K),Prop trading (prop desk co-founder / trader development),DM open; SMBU.com/blog,https://x.com/MikeBellafiore/status/2095961152693903439,Sep 4 post 'STOP SETTING SMALL TRADING GOALS' on the most dangerous mistake developing traders make (199 likes),"Co-founder of SMB Capital prop desk and author of The PlayBook; the definitive prop-trading development voice. Posts 1-2x/week but each post lands (0.16%, 13% reach).",M2 batch 1
@Greckothe1,https://x.com/Greckothe1,"63,000",0.16%,18.2%,84.5,11.5,2.5,"11,463",20,2026-08-04 to 2026-09-04,Mid (25-100K),Prop-firm day trading (gold / XAU) - funded accounts,DM open; linktr.ee/greckothe1,https://x.com/Greckothe1/status/2090113184640168249,"Aug 19 post 'everything I love in a day - new funded account from yesterday, up $5,000 already' (282 likes); became 200K funded at FTMarkets on Aug 14","Grecko - gold day trader living on funded/prop accounts, 63K followers with 18% reach (0.16%); openly compares brokers and prop firms (Aug 17 'which CFD broker is best' poll) - engaged prop-trading audience.",M2 batch 2
@arjoio,https://x.com/arjoio,"78,900",0.10%,13.6%,60.5,11.5,3.5,"10,700",20,2026-07-12 to 2026-08-31,Mid (25-100K),Prop-firm industry commentary (PipBack founder),DM open; pipback.com,https://x.com/arjoio/status/2094423843787985076,Aug 31 post: 'CFD prop firms have no idea how to enter and dominate the Futures space' (204 likes); Aug 21 post on traders who fail prop-firm evaluations (562 likes),"Arjo, outspoken prop-firm industry voice (78.9K) with strong reply engagement (0.10%); actively covering the CFD-to-futures prop shift - a commentator whose audience is exactly the funded-futures crowd. Founder of a prop cashback site, flagging.",M2 batch 2
@Carwhorns,https://x.com/Carwhorns,"27,600",0.09%,5.3%,16,6,3,"1,459",17,2026-08-12 to 2026-08-30,Mid (25-100K),"Prop-firm day trading - author, YouTube, prop-firm affiliate",DM open; youtube.com (BrandonTrades),https://x.com/Carwhorns/status/2090116974181580873,Aug 19 giveaway of three Lucid 50K funded accounts (293 likes) - he runs prop-firm partnerships and discount codes,"BrandonTrades - day-trading author (two Amazon books) with YouTube and prop-firm affiliate deals; 28K followers, modest per-post engagement (0.09%) but giveaways spike to 300-500 likes. Last post Aug 30.",M2 batch 2
